"Study ID","Author, Year (Study level)","Study Class","Study Publication Year","Treatment Focus (Study level)","Treatment Focus (Arm level)","Treatment Focus Subclass (Arm level)","Total N Randomized","Intervention Group","Arm N Randomized","Arm N Randomized Detail","Treatment Name","Standardized Treatment Name","Treatment Description","Psychotherapy","Psychotherapy Subclass","Pharmacotherapy","Pharmacotherapy Subclass","CIH","CIH Subclass","Nonpharmacologic Biologic","Nonpharmacologic Cognitive","Control","Other Study Class","Collaborative Care","Format","Delivery Method","Dose","Session Length","Frequency","Treatment Duration","Treatment Duration Detail","Completed Treatment Definition","Completed Treatment Percent","Completed Treatment Percent Detail","Participant Adherence Definition","Participants Adhered Percent","Participants Adhered Percent Detail","Psychotherapy Sessions Completed Mean","Psychotherapy Sessions Completed Standard deviation","Psychotherapy Sessions Completed Detail","Dose at Study End Point Mean","Dose at Study End Point Standard deviation","Dose at Study End Point Detail","Race/Ethnicity Reported (Study level)","Military Status (Study level)","Female Percent (Study level)","Trauma Type (Study level)","Trauma Detail (Study level)","Risk of Bias Rating (Study level)","Citation","PTSDpubs ID","Year Added to PTSD Repository"
"dedert2019_B","dedert2019","Psychotherapy","2019","PTSD+SUD","Active Control","Not integrated","40","B","25",,"Present-focused smoking cessation","Smoking cessation","Cognitive behavioral smoking cessation treatment following the Integrated Care for Smoking Cessation manual; treatment is present-focused. ""The smoking cessation treatment in this arm was identical to the smoking cessation component of the [combined CPT + smoking cessation] group, except that the [present-focused smoking cessation] arm did not utilize formal cognitive restructuring to address smoking triggers.""","Yes","Non-Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"25 minutes","Twice weekly","6",,"attended all 12 sessions",,,,,,,,,,,,"Race and Ethnicity data reported","Veteran","82.5%",,,"High","Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.","1556168","2020"
"dekleine2012_A","dekleine2012","Psychotherapy & pharmacotherapy","2012","PTSD","PTSD",,"75","A","33",,"PE + D-cycloserine","Prolonged Exposure (PE) + D-cycloserine","D-cycloserine prior to PE sessions







PE: standardized program including prolonged imaginal exposure (30 minutes each session), in vivo exposure assignments and homework of exposure using recorded session audiotape.







D-cycloserine: glutamatergic N-methyl-D-aspartate receptor partial agonist, taken 1 hour prior to start of each PE session","Yes","Trauma-focused","Yes","Other pharmacotherapy","No",,"No","No","No","No","No","Individual","In Person","50 mg","30 minutes","Weekly","up to 10",,">8 sessions",,,,,,,,,,,,"Not reported","Community","80.6%","Mixed","combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")","Some Concerns","de Kleine RA, Hendriks GJ, Kusters WJ, et al. A randomized placebo-controlled trial of D-cycloserine to enhance exposure therapy for posttraumatic stress disorder. Biol Psychiatry. 2012 Jun 1;71(11):962-8. doi: 10.1016/j.biopsych.2012.02.033. PMID: 22480663.","38434","2019"
"dekleine2012_B","dekleine2012","Psychotherapy & pharmacotherapy","2012","PTSD","Active Control",,"75","B","34",,"PE + placebo","Prolonged Exposure (PE) + placebo","Placebo prior to PE sessions







PE: standardized program including prolonged imaginal exposure (30 minutes each session), in vivo exposure assignments and homework of exposure using recorded session audiotape.







Placebo: identical in appearance to D-cycloserine, taken 1 hour prior to start of each PE session","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"30 minutes","Weekly","up to 10",,">8 sessions",,,,,,,,,,,,"Not reported","Community","80.6%","Mixed","combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")","Some Concerns","de Kleine RA, Hendriks GJ, Kusters WJ, et al. A randomized placebo-controlled trial of D-cycloserine to enhance exposure therapy for posttraumatic stress disorder. Biol Psychiatry. 2012 Jun 1;71(11):962-8. doi: 10.1016/j.biopsych.2012.02.033. PMID: 22480663.","38434","2019"
"dekleine2019_A","dekleine2019","Nonpharmacologic cognitive","2019","PTSD","PTSD",,"107","A","49",,"Cognitive Bias Modification","Cognitive Bias Modification (CBM)","Online CBM training completed at home. Participant responded to a series of 40 scripted vignettes representing domains of the PTCI. Sentence completion format: two sentences, with second sentence including a word fragment to be completed. Participant typed a missing letter which gave the sentence a positive meaning.","No",,"No",,"No",,"No","Yes","No","No","No","Individual","Technology alone",,"6 minutes (median)","Four times weekly","1",,"Completing all 4 sessions",,,,,,,,,,,,"Not reported","Community","81.3%","Mixed","Child physical abuse; Child sexual abuse; Child other abuse; Rape/sexual assault; Intimate partner violence; Community/school violence","Low","de Kleine RA, Woud ML, Ferentzi H, et al. Appraisal-based cognitive bias modification in patients with posttraumatic stress disorder: a randomised clinical trial. Eur J Psychotraumatol. 2019 Jul 8;10(1):1625690. doi: 10.1080/20008198.2019.1625690. PMID: 31448063.","52213","2024"
"dekleine2019_B","dekleine2019","Nonpharmacologic cognitive","2019","PTSD","Inactive Control",,"107","B","58",,"Control Training","Attention control","Online control training completed at home. Pesponded to a series of 40 scripted vignettes representing domains of the PTCI. Sentence completion format: two sentences, with second sentence including a word fragment to be completed. Participant typed a missing letter which gave the sentence a neutral meaning.","No",,"No",,"No",,"No","No","Yes","No","No","Individual","Technology alone",,"6 minutes (median)","Four times weekly","1",,"Completing all 4 sessions",,,,,,,,,,,,"Not reported","Community","81.3%","Mixed","Child physical abuse; Child sexual abuse; Child other abuse; Rape/sexual assault; Intimate partner violence; Community/school violence","Low","de Kleine RA, Woud ML, Ferentzi H, et al. Appraisal-based cognitive bias modification in patients with posttraumatic stress disorder: a randomised clinical trial. Eur J Psychotraumatol. 2019 Jul 8;10(1):1625690. doi: 10.1080/20008198.2019.1625690. PMID: 31448063.","52213","2024"
"dell2022_A","dell2022","Psychotherapy","2022","PTSD","PTSD",,"138","A","65",,"Massed Prolonged Exposure","Prolonged Exposure (PE)","Therapy with in vivo homework, using fear extinction through engaging with the traumatic memory. Identical to standard therapy but sessions delivered over 2 weeks. Intervention adapted during COVID-19 restrictions to include telehealth treatment (same format and duration of therapy but using online video platforms)","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","Mixed",,"90 minutes","Daily","2","Reported as both 2 weeks and 10 days (may be weekdays only)","Attended ≥7 sessions",,,,,,,,,,,,"Not reported","Mixed","11.94%","Mixed","Combat-related; Other (trauma occurring during military service but not required to be specific to deployment)","High","Dell L, Sbisa AM, Forbes A, et al. Effect of massed v. standard prolonged exposure therapy on PTSD in military personnel and veterans: a non-inferiority randomised controlled trial. Psychol Med. 2022 Apr 20:1-8. doi: 10.1017/S0033291722000927. PMID: 35440345.","1592061","2023"
"dell2022_B","dell2022","Psychotherapy","2022","PTSD","PTSD",,"138","B","73",,"Standard Prolonged Exposure","Prolonged Exposure (PE)","Standard manualised therapy with in vivo homework, using fear extinction through engaging with the traumatic memory. Delivered over 10 weeks. Intervention adapted during COVID-19 restrictions to include telehealth treatment (same format and duration of therapy but using online video platforms)","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","Mixed",,"90 minutes","Weekly","10",,"Attended ≥7 sessions",,,,,,,,,,,,"Not reported","Mixed","11.94%","Mixed","Combat-related; Other (trauma occurring during military service but not required to be specific to deployment)","High","Dell L, Sbisa AM, Forbes A, et al. Effect of massed v. standard prolonged exposure therapy on PTSD in military personnel and veterans: a non-inferiority randomised controlled trial. Psychol Med. 2022 Apr 20:1-8. doi: 10.1017/S0033291722000927. PMID: 35440345.","1592061","2023"
"devilly1998_A","devilly1998","Psychotherapy","1998","PTSD","PTSD",,"51","A","19",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Participants track extreme hand movements while holding in mind a representative picture of the traumatic event. On average, 24 back-and-forth sweeps were given for each set until subjective units of distress decrease to 0. Eye movement desensitization repeated until no more imaginal picture arises","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly","2",,"Received 2nd (final) treatment session",,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"High","Devilly GJ, Spence SH, Rapee RM. Statistical and reliable change with eye movement desensitization and reprocessing: treating trauma within a veteran population. Behav. Ther. 1998 Summer;29(3):435-55. doi: 10.1016/S0005-7894(98)80042-7.","20740","2019"
"devilly1998_B","devilly1998","Psychotherapy","1998","PTSD","PTSD",,"51","B","16",,"Reactive Eye Dilation Desensitization and Reprocessing","Eye Movement Desensitization and Reprocessing (EMDR)","Participant concentrates on the imaginal picture and accompanying body sensation while concentrating on a black box emitting flashing light at rate of 4 flashes per second.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly","2",,"Received 2nd (final) treatment session",,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"High","Devilly GJ, Spence SH, Rapee RM. Statistical and reliable change with eye movement desensitization and reprocessing: treating trauma within a veteran population. Behav. Ther. 1998 Summer;29(3):435-55. doi: 10.1016/S0005-7894(98)80042-7.","20740","2019"
"devilly1998_C","devilly1998","Psychotherapy","1998","PTSD","Inactive Control",,"51","C","16",,"Standard Psychiatric Support","Treatment as usual (TAU)","Participants continued their usual treatment without additional support from research therapist","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"5","post-treatment assessment at 5 weeks",,,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"High","Devilly GJ, Spence SH, Rapee RM. Statistical and reliable change with eye movement desensitization and reprocessing: treating trauma within a veteran population. Behav. Ther. 1998 Summer;29(3):435-55. doi: 10.1016/S0005-7894(98)80042-7.","20740","2019"
"devilly1999_A","devilly1999","Psychotherapy","1999","PTSD","PTSD",,"23","A","12","15 randomized, 12 completers analyzed","Trauma Treatment Protocol","Trauma-focused cognitive behavioral therapy (TF-CBT)","Variant of CBT utilizing components from SIT (stress inoculation training), PE (prolonged exposure) and in-depth cognitive therapy","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90-120 minutes",,,"9 sessions, frequency NR; unclear treatment duration; arm C (control) had post-treatment assessment at 5 weeks","Completed treatment",,"2 participants completed 8 sessions (implies remaining 10 participants completed 9 sessions)",,,,,,,,,,"Not reported","Community","65.2%","Mixed","Accidents; Natural or manmade disasters; Rape/sexual assault; Community/school violence; Other (""war zone"")","High","Devilly GJ, Spence C. The relative efficacy and treatment distress of EMDR and a cognitive-behavior trauma treatment protocol in the amelioration of posttraumatic stress disorder. J Anxiety Disord. 1999 2016-09-15;13(1-2):131-57. doi: 10.1016/S0887-6185(98)00044-9. PMID: 10225505.","14687","2023"
"devilly1999_B","devilly1999","Psychotherapy","1999","PTSD","PTSD",,"23","B","11","17 randomized, 11 completers analyzed","Eye Movement Desensitization and Reproccessing","Eye Movement Desensitization and Reprocessing (EMDR)","Protocol using EMDR and exploring associated trauma and personal history","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90-120 minutes",,,"8 sessions, frequency NR; unclear treatment duration; arm C (control) had post-treatment assessment at 5 weeks","Completed treatment",,"2 participants completed 7 sessions (implies remaining 9 participants completed 8 sessions)",,,,,,,,,,"Not reported","Community","65.2%","Mixed","Accidents; Natural or manmade disasters; Rape/sexual assault; Community/school violence; Other (""war zone"")","High","Devilly GJ, Spence C. The relative efficacy and treatment distress of EMDR and a cognitive-behavior trauma treatment protocol in the amelioration of posttraumatic stress disorder. J Anxiety Disord. 1999 2016-09-15;13(1-2):131-57. doi: 10.1016/S0887-6185(98)00044-9. PMID: 10225505.","14687","2023"
"difede2014_A","difede2014","Psychotherapy & pharmacotherapy","2014","PTSD","PTSD",,"25","A","13",,"Exposure therapy with virtual reality plus D-cycloserine","Virtual reality exposure therapy (VRET) + D-cycloserine","Participants recounted their trauma while wearing a virtual reality helmet with a computer simulation of the September 11th attacks. Graded scenarios increased in intensity and detail, target of 45 minutes ""in the virtual world"". D-cycloserine: antibiotic, also used as a cognitive enhancer, given 90 minutes before sessions beginning with session 2.","Yes","Trauma-focused","Yes","Other pharmacotherapy","No",,"No","No","No","No","No","Individual","In Person","100 mg","90 minutes","Weekly","12",,"Completed treatment",,"reports number completed the intervention; none dropped out from this arm","verbal inquiry about medication ingestion before session",,,"11","1",,,,,"Race and Ethnicity data reported","Community","24%","Terrorism/political violence/forced displacement",,"Low","Difede J, Cukor J, Wyka KE, et al. D-cycloserine augmentation of exposure therapy for post-traumatic stress disorder: a pilot randomized clinical trial. Neuropsychopharmacology. 2014 Apr;39(5):1052-108. doi: 10.1038/npp.2013.317. PMID: 24217129.","41641","2019"
"difede2014_B","difede2014","Psychotherapy & pharmacotherapy","2014","PTSD","Active Control",,"25","B","12",,"Exposure therapy with virtual reality plus placebo","Virtual reality exposure therapy (VRET) + placebo","Participants recounted their trauma while wearing a virtual reality helmet with a computer simulation of the September 11th attacks. Graded scenarios increased in intensity and detail, goal 45 minutes ""in the virtual world"". Matched placebo given 90 minutes prior to start of therapy beginning at session 2.","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"90 minutes","Weekly","12",,"Completed treatment",,"reports number completed the intervention; from this arm, n=3 dropped out (after sessions 3, 6 and 7)","verbal inquiry about medication ingestion before session",,,"9.33","3.34",,,,,"Race and Ethnicity data reported","Community","24%","Terrorism/political violence/forced displacement",,"Low","Difede J, Cukor J, Wyka KE, et al. D-cycloserine augmentation of exposure therapy for post-traumatic stress disorder: a pilot randomized clinical trial. Neuropsychopharmacology. 2014 Apr;39(5):1052-108. doi: 10.1038/npp.2013.317. PMID: 24217129.","41641","2019"
